#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,0.4000,-25.94,86.54
2,11.0,0.4000,-25.11,86.35
3,12.0,0.4000,-24.36,86.00
4,13.2,0.4000,-23.54,85.60
5,14.5,0.4000,-22.71,85.13
6,15.8,0.4000,-21.98,84.82
7,17.4,0.4000,-21.17,84.32
8,19.1,0.4000,-20.34,83.81
9,20.9,0.4000,-19.56,83.30
10,22.9,0.4000,-18.79,82.70
11,25.1,0.4000,-18.01,82.08
12,27.5,0.4000,-17.25,81.41
13,30.2,0.4000,-16.45,80.65
14,33.1,0.4000,-15.66,79.88
15,36.3,0.4000,-14.92,79.35
16,39.8,0.4000,-14.22,78.58
17,43.7,0.4000,-13.21,77.05
18,47.9,0.4000,-12.65,76.81
19,52.5,0.4000,-12.00,74.15
20,57.5,0.4000,-11.22,73.57
21,63.1,0.4000,-10.35,72.15
22,69.2,0.4000,-9.62,70.27
23,75.9,0.4000,-8.94,67.96
24,83.2,0.4000,-8.24,66.39
25,91.2,0.4000,-7.57,64.23
26,100.0,0.4000,-6.93,62.03
27,109.6,0.4000,-6.30,59.81
28,120.2,0.4000,-5.71,57.35
29,131.8,0.4000,-5.14,54.85
30,144.5,0.4000,-4.61,52.30
31,158.5,0.4000,-4.11,49.60
32,173.8,0.4000,-3.62,46.84
33,190.5,0.4000,-3.21,43.99
34,208.9,0.4000,-2.82,41.22
35,229.1,0.4000,-2.46,38.41
36,251.2,0.4000,-2.13,35.54
37,275.4,0.4000,-1.83,32.75
38,302.0,0.4000,-1.59,30.01
39,331.1,0.4000,-1.37,27.36
40,363.1,0.4000,-1.17,24.69
41,398.1,0.4000,-1.01,22.18
42,436.5,0.4000,-0.86,19.75
43,478.6,0.4000,-0.74,17.36
44,524.8,0.4000,-0.63,15.06
45,575.4,0.4000,-0.56,12.87
46,631.0,0.4000,-0.48,10.70
47,691.8,0.4000,-0.43,8.60
48,758.6,0.4000,-0.40,6.59
49,831.8,0.4000,-0.36,4.53
50,912.0,0.4000,-0.35,2.58
51,1000.0,0.4000,-0.34,0.64
52,1096.5,0.4000,-0.33,-1.38
53,1202.3,0.4000,-0.34,-3.33
54,1318.3,0.4000,-0.36,-5.33
55,1445.4,0.4000,-0.40,-7.34
56,1584.9,0.4000,-0.44,-9.43
57,1737.8,0.4000,-0.51,-11.55
58,1905.5,0.4000,-0.58,-13.71
59,2089.3,0.4000,-0.67,-15.93
60,2290.9,0.4000,-0.79,-18.32
61,2511.9,0.4000,-0.90,-20.69
62,2754.2,0.4000,-1.06,-23.13
63,3020.0,0.4000,-1.23,-25.71
64,3311.3,0.4000,-1.44,-28.34
65,3630.8,0.4000,-1.68,-31.03
66,3981.1,0.4000,-1.94,-33.79
67,4365.2,0.4000,-2.24,-36.64
68,4786.3,0.4000,-2.56,-39.40
69,5248.1,0.4000,-2.94,-42.37
70,5754.4,0.4000,-3.33,-45.23
71,6309.6,0.4000,-3.77,-48.09
72,6918.3,0.4000,-4.25,-50.99
73,7585.8,0.4000,-4.74,-53.90
74,8317.6,0.4000,-5.26,-56.93
75,9120.1,0.4000,-5.83,-59.76
76,10000.0,0.4000,-6.43,-62.46
77,10964.8,0.4000,-7.05,-65.05
78,12022.6,0.4000,-7.71,-67.56
79,13182.6,0.4000,-8.40,-69.98
80,14454.4,0.4000,-9.09,-72.32
81,15848.9,0.4000,-9.81,-74.56
82,17378.0,0.4000,-10.53,-76.80
83,19054.6,0.4000,-11.29,-79.03
84,20893.0,0.4000,-12.02,-81.15
85,22908.7,0.4000,-12.80,-83.23
86,25118.9,0.4000,-13.57,-84.83
87,27542.3,0.4000,-14.34,-86.30
88,30199.5,0.4000,-15.14,-87.69
89,33113.1,0.4000,-15.92,-88.90
90,36307.8,0.4000,-16.72,-90.24
91,39810.7,0.4000,-17.52,-91.36
92,43651.6,0.4000,-18.31,-92.52
93,47863.0,0.4000,-19.12,-93.66
94,52480.7,0.4000,-19.92,-94.71
95,57544.0,0.4000,-20.74,-95.84
96,63095.7,0.4000,-21.57,-96.99
97,69183.1,0.4000,-22.39,-98.25
98,75857.8,0.4000,-23.21,-99.62
99,83176.4,0.4000,-24.02,-100.96
100,91201.1,0.4000,-24.88,-102.32
101,100000.0,0.4000,-25.70,-104.04
