#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,2.0000,-12.34,75.80
2,103.5,2.0000,-12.05,75.34
3,107.2,2.0000,-11.77,74.84
4,110.9,2.0000,-11.49,74.37
5,114.8,2.0000,-11.20,73.84
6,118.9,2.0000,-10.92,73.28
7,123.0,2.0000,-10.65,72.76
8,127.4,2.0000,-10.38,72.13
9,131.8,2.0000,-10.09,71.56
10,136.5,2.0000,-9.81,70.97
11,141.3,2.0000,-9.54,70.34
12,146.2,2.0000,-9.26,69.72
13,151.4,2.0000,-8.99,69.02
14,156.7,2.0000,-8.73,68.34
15,162.2,2.0000,-8.45,67.66
16,167.9,2.0000,-8.19,66.90
17,173.8,2.0000,-7.93,66.17
18,179.9,2.0000,-7.67,65.42
19,186.2,2.0000,-7.42,64.62
20,192.8,2.0000,-7.16,63.82
21,199.5,2.0000,-6.91,63.01
22,206.5,2.0000,-6.66,62.15
23,213.8,2.0000,-6.40,61.24
24,221.3,2.0000,-6.16,60.38
25,229.1,2.0000,-5.92,59.45
26,237.1,2.0000,-5.68,58.49
27,245.5,2.0000,-5.44,57.51
28,254.1,2.0000,-5.21,56.54
29,263.0,2.0000,-4.99,55.52
30,272.3,2.0000,-4.77,54.53
31,281.8,2.0000,-4.55,53.44
32,291.7,2.0000,-4.31,52.41
33,302.0,2.0000,-4.10,51.32
34,312.6,2.0000,-3.91,50.21
35,323.6,2.0000,-3.69,49.08
36,335.0,2.0000,-3.49,47.87
37,346.7,2.0000,-3.31,46.73
38,358.9,2.0000,-3.13,45.53
39,371.5,2.0000,-2.94,44.38
40,384.6,2.0000,-2.75,43.07
41,398.1,2.0000,-2.59,41.91
42,412.1,2.0000,-2.41,40.69
43,426.6,2.0000,-2.25,39.39
44,441.6,2.0000,-2.10,38.13
45,457.1,2.0000,-1.95,36.86
46,473.2,2.0000,-1.80,35.49
47,489.8,2.0000,-1.66,34.17
48,507.0,2.0000,-1.54,32.86
49,524.8,2.0000,-1.40,31.58
50,543.3,2.0000,-1.28,30.18
51,562.3,2.0000,-1.17,28.87
52,582.1,2.0000,-1.05,27.53
53,602.6,2.0000,-0.96,26.11
54,623.7,2.0000,-0.85,24.73
55,645.7,2.0000,-0.75,23.36
56,668.3,2.0000,-0.66,22.00
57,691.8,2.0000,-0.60,20.62
58,716.1,2.0000,-0.51,19.24
59,741.3,2.0000,-0.44,17.81
60,767.4,2.0000,-0.37,16.43
61,794.3,2.0000,-0.31,15.02
62,822.2,2.0000,-0.26,13.62
63,851.1,2.0000,-0.21,12.25
64,881.0,2.0000,-0.17,10.87
65,912.0,2.0000,-0.13,9.46
66,944.1,2.0000,-0.10,8.03
67,977.2,2.0000,-0.07,6.65
68,1011.6,2.0000,-0.05,5.27
69,1047.1,2.0000,-0.02,3.83
70,1083.9,2.0000,-0.02,2.45
71,1122.0,2.0000,-0.02,1.03
72,1161.4,2.0000,-0.02,-0.34
73,1202.3,2.0000,-0.02,-1.71
74,1244.5,2.0000,-0.03,-3.10
75,1288.2,2.0000,-0.04,-4.53
76,1333.5,2.0000,-0.06,-5.96
77,1380.4,2.0000,-0.08,-7.37
78,1428.9,2.0000,-0.11,-8.75
79,1479.1,2.0000,-0.14,-10.17
80,1531.1,2.0000,-0.19,-11.56
81,1584.9,2.0000,-0.24,-12.94
82,1640.6,2.0000,-0.29,-14.33
83,1698.2,2.0000,-0.35,-15.70
84,1757.9,2.0000,-0.40,-17.08
85,1819.7,2.0000,-0.47,-18.51
86,1883.6,2.0000,-0.55,-19.87
87,1949.8,2.0000,-0.63,-21.24
88,2018.4,2.0000,-0.72,-22.67
89,2089.3,2.0000,-0.81,-24.05
90,2162.7,2.0000,-0.91,-25.43
91,2238.7,2.0000,-1.02,-26.75
92,2317.4,2.0000,-1.11,-28.12
93,2398.8,2.0000,-1.24,-29.49
94,2483.1,2.0000,-1.34,-30.81
